code,group_prefix
H-13,H
H-14,H
H-15,H
H-16,H
R-1,R
R-2,R
R-3,R
R-4,R
R-5,R
명-1,명
명-2,명
명-3,명
명-4,명
명-5,명
명-6,명
명-7,명
명-8,명
명-9,명
명-10,명
명-11,명
명-12,명
명-13,명
명-14,명
명-15,명
명-16,명
명-17,명
명-18,명
명-19,명
명-20,명
백-1,백
백-2,백
백-3,백
백-4,백
백-5,백
백-6,백
백-7,백
백-8,백
백-9,백
백-10,백
백-11,백
백-12,백
백-13,백
백-14,백
백-15,백
백-16,백
백-17,백
백-18,백
백-19,백
백-20,백
백-21,백
백-22,백
백-23,백
백-24,백
백-25,백
백-26,백
백-27,백
백-28,백
백-29,백
백-30,백
백-31,백
백-32,백
백-33,백
백-34,백
백-35,백
백-36,백
백-37,백
백-38,백
백-39,백
백-40,백
백-41,백
백-42,백
백-43,백
백-44,백
백-45,백
백-46,백
백-47,백
백-48,백
백-49,백
백-50,백
백-51,백
백-52,백
백-53,백
모-1,모
모-2,모
모-3,모
모-4,모
모-5,모
모-6,모
모-7,모
모-8,모
모-9,모
모-10,모
모-11,모
모-12,모
모-13,모
모-14,모
모-15,모
모-16,모
모-17,모
모-18,모
모-19,모
모-20,모
모-21,모
러-1,러
러-2,러
러-3,러
러-4,러
러-5,러
러-6,러
러-7,러
러-8,러
러-9,러
러-10,러
러-11,러
러-12,러
러-13,러
러-14,러
러-15,러
러-16,러
러-17,러
러-18,러
러-19,러
러-20,러
러-21,러
스3-1,스3
스3-2,스3
스3-3,스3
스3-4,스3
스3-5,스3
스3-6,스3
스3-7,스3
스3-8,스3
스3-9,스3
스3-10,스3
스3-11,스3
스3-12,스3
스3-13,스3
스3-14,스3
스3-15,스3
스3-16,스3
스3-17,스3
스3-18,스3
소1-1,소1
소1-2,소1
소1-3,소1
소1-4,소1
소1-5,소1
소1-6,소1
소1-7,소1
소1-8,소1
소1-9,소1
소1-10,소1
소1-11,소1
소1-12,소1
소1-13,소1
소1-14,소1
소1-15,소1
소1-16,소1
소1-17,소1
소1-18,소1
소1-19,소1
소1-20,소1
소1-21,소1
중-1,중
중-2,중
중-3,중
중-4,중
중-5,중
중-6,중
중-7,중
중-8,중
중-9,중
중-10,중
중-11,중
중-12,중
중-13,중
중-14,중
중-15,중
연-1,연
연-2,연
연-3,연
연-4,연
연-5,연
연-6,연
연-7,연
폭-1,폭
폭-2,폭
폭-3,폭
폭-4,폭
폭-5,폭
폭-6,폭
폭-7,폭
폭-8,폭
폭-9,폭
폭-10,폭
폭-11,폭
폭-12,폭
폭-13,폭
폭-14,폭
성-1,성
성-2,성
성-3,성
성-4,성
성-5,성
성-6,성
성-7,성
성-8,성
성-9,성
성-10,성
성-11,성
성-12,성
성-13,성
성-14,성
성-15,성
성-16,성
성-17,성
성-18,성
성-19,성
성-20,성
성-21,성
성-22,성
성-23,성
성-24,성
성-25,성
성-26,성
성-27,성
성-28,성
성-29,성
성-30,성
성-31,성
성-32,성
성-33,성
성-34,성
성-35,성
성-36,성
성-37,성
프-1,프
프-2,프
프-3,프
프-4,프
프-5,프
프-6,프
프-7,프
프-8,프
프-9,프
프-10,프
본-1,본
본-2,본
부-1,부
부-2,부
부-3,부
부-4,부
부-5,부
마-1,마
마-2,마
마-3,마
마-4,마
마-5,마
마-6,마
마-7,마
마-8,마
마-9,마
마-10,마
마-11,마
마-12,마
마-13,마
마-14,마
마-15,마
마-16,마
마-17,마
마-18,마
마-19,마
마-20,마
마-21,마
마-22,마
마-23,마
마-24,마
마-25,마
마-26,마
마-27,마
마-28,마
브-1,브
브-2,브
브-3,브
브-4,브
브-5,브
브-6,브
브-7,브
브-8,브
기-1,기
기-2,기
기-3,기
기-4,기
기-5,기
기-6,기
기-7,기
기-8,기
어-1,어
어-2,어
어-3,어
어-4,어
어-5,어
어-6,어
어-7,어
어-8,어
어-9,어
어-10,어
어-11,어
어-12,어
어-13,어
어-14,어
어-15,어
어-16,어
어-17,어
어-18,어
어-19,어
어-20,어
어-21,어
어-22,어
어-23,어
어-24,어
어-25,어
어-26,어
어-27,어
어-28,어
어-29,어
어-30,어
어-31,어
어-32,어
어-33,어
어-34,어
어-35,어
어-36,어
어-37,어
어-38,어
어-39,어
어-40,어
어-41,어
어-42,어
어-43,어
어-44,어
어-45,어
어-46,어
어-47,어
어-48,어
어-49,어
어-50,어
어-51,어
어-52,어
어-53,어
어-54,어
어-55,어
어-56,어
어-57,어
어-58,어
어정-1,어정
어정-2,어정
어정-3,어정
어정-4,어정
어정-5,어정
어정-6,어정
어정-7,어정
어정-8,어정
어정-9,어정
어정-10,어정
어정-11,어정
어정-12,어정
어정-13,어정
어정-14,어정
어정-15,어정
어정-16,어정
어정-17,어정
어정-18,어정
어정-19,어정
어정-20,어정
어정-21,어정
무-1,무
무-2,무
무-3,무
무-4,무
무-5,무
무-6,무
무-7,무
무-8,무
무-9,무
무-10,무
무-11,무
무-12,무
무-13,무
무-14,무
무-15,무
무-16,무
무-17,무
무-18,무
무-19,무
무-20,무
무-21,무
제-1,제
제-2,제
제-3,제
제-4,제
제-5,제
제-6,제
제-7,제
8정-1,8정
8정-2,8정
8정-3,8정
8정-4,8정
8정-5,8정
8정-6,8정
8정-7,8정
8정-8,8정
8정-9,8정
8정-10,8정
8정-11,8정
8정-12,8정
8정-13,8정
8정-14,8정
8정-15,8정
8정-16,8정
8정-17,8정
8정-18,8정
임1-1,임1
임1-2,임1
임1-3,임1
임1-4,임1
임1-5,임1
임1-6,임1
임1-7,임1
임1-8,임1
임1-9,임1
임1-10,임1
임1-11,임1
임1-12,임1
임1-13,임1
임1-14,임1
임1-15,임1
임1-16,임1
임1-17,임1
임1-18,임1
